"2007","02007  CHABANAIS","1 RUE CHABANAIS  75002 PARIS","2.33668660824","48.8671234464","1","1","28"
"2008","02008  MAIRIE DU 2EME","11 RUE DE LA BANQUE  75002 PARIS","2.34056368636","48.8672932628","1","1","29"
"2009","02009  BOURSE","1 RUE DES FILLES SAINT THOMAS  75002 PARIS","2.33973140109","48.8688516894","1","1","59"
"2010","02010  BOULEVARD MONTMARTRE","21 RUE DUZES  75002 PARIS","2.34316333439","48.8707757573","1","1","30"
"2011","02011  BIBLIOTHEQUE NATIONALE","71 RUE DE RICHELIEU  75002 PARIS","2.33808978228","48.8682998892","1","1","26"
"2012","02012  QUATRE SEPTEMBRE","10 RUE DE CHOISEUL  75002 PARIS","2.33603945554","48.869969734","1","1","42"
"2013","02013  RICHELIEU DROUOT","20 RUE FAVART  75002 PARIS","2.33829010585","48.8714463539","1","1","17"
"2014","02014  SAINT AUGUSTIN","1  3 RUE DAUNOU  75002 PARIS","2.33251510527","48.8691131526","1","1","16"
"2015","02015  OPERA  CAPUCINES","25 RUE LOUIS LE GRAND  75002 PARIS","2.33405446194","48.8705089372","1","1","31"
"2016","02016  ABOUKIR","108 RUE DABOUKIR  75002 PARIS","2.35018588824","48.8686604815","1","1","21"
"2020","02020  OPERA CASANOVA","02 RUE DANIEL CASANOVA  75002 PARIS","2.3332685931","48.8676230781","1","1","20"
"2021","02021  CLERY","4 RUE DE CLERY  75002 PARIS","2.34452661511","48.8674674415","1","1","43"
"2022","02022  BONNE NOUVELLE SAINT FIACRE","20 RUE SAINT FIACRE  75002 PARIS","2.34590581139","48.8707827795","1","1","36"
"2101","02101  BACHAUMONT","14 RUE BACHAUMONT  75002 PARIS","2.3454636527","48.8660671501","1","1","22"
"2102","02102  SAINT MARC","8 RUE SAINT MARC  75002 PARIS","2.34187856663","48.870314764","1","1","37"
"2107","02107  THOREL","11 RUE THOREL  75002 PARIS","2.34899551805","48.8700006172","1","1","16"
"2108","02108  VIVIENNE","42 RUE VIVIENNE  75002 PARIS","2.34139499926","48.8712422742","1","1","38"
"3001","03001  CHEMIN VERT BEAUMARCHAIS","69 BOULEVARD BEAUMARCHAIS  75003 PARIS","2.3678326593","48.8580440569","1","1","52"
"3002","03002  SAINT GILLES","26 RUE SAINT GILLES  75003 PARIS","2.3647149921","48.8581589568","1","1","18"
"3003","03003  TURENNE BRETAGNE","4 RUE DES FILLES DU CALVAIRE  75003 PARIS","2.36495138689","48.862132235","1","1","32"
"3004","03004  REPUBLIQUE 23","19 PLACE DE LA REPUBLIQUE  75003 PARIS","2.36351","48.86707","1","1","18"
"3005","03005  TURBIGO SAINTE ELISABETH","7 RUE SAINTE ELISABETH  75003 PARIS","2.35966114363","48.8661372246","1","1","33"
"3006","03006  MAIRIE DU 3EME","10 RUE PERREE  75003 PARIS","2.36157981521","48.8645308053","1","1","34"
"3007","03007  ARCHIVES PASTOURELLE","67 RUE DES ARCHIVES  75003 PARIS","2.35944703195","48.8624012119","1","1","28"
"3008","03008  PERLE","22 RUE DE LA PERLE  75003 PARIS","2.36105048709","48.8598466832","1","1","18"
"3009","03009  TEMPLE 113","76 RUE DU TEMPLE  75003 PARIS","2.35660934144","48.8615811577","1","1","18"
"3010","03010  BEAUBOURG","46 RUE BEAUBOURG  75003 PARIS","2.35423678142","48.8624649804","1","1","18"
"3011","03011  TURBIGO","55 RUE TURBIGO  75003 PARIS","2.35627844763","48.8655841911","1","1","31"
"3012","03012  GAITE LYRIQUE","FACE 8 RUE SALOMON DE CAUS  75003 PARIS","2.35366081625","48.8674979894","1","1","24"
